Rank,Name,Position,Age,Scoring_grade,Passing_grade,Rebounding_grade,Rating,Efficiency,Turnover_grade,Overall,Salary
80,Danny Green,G,34.73,5,5,5,8,9,10,7.25,2000
81,Draymond Green,F,32.03,5,8,8,9,9,10,8.491666666666670,3500
82,Javonte Green,G-F,28.64,5,5,6,10,10,9,7.8,3500
83,Jalen Green,G,20.09,7,5,5,10,8,8,7.416666666666670,1000
84,Jeff Green,F,35.54,6,5,5,10,9,5,6.941666666666670,1000
85,Tyrese Haliburton,G,22.04,6,8,5,10,10,10,8.416666666666670,1000
86,Tim Hardaway Jr.,G-F,29.99,6,5,5,8,8,9,7.083333333333330,2000
87,James Harden,G,32.55,9,10,9,9,8,10,9.616666666666670,5000
88,Montrezl Harrell,F-C,28.13,6,5,8,10,10,7,7.941666666666670,3500
89,Gary Harris,G,27.5,6,5,5,10,9,9,7.583333333333330,2000
90,Joe Harris,G-F,30.52,6,5,6,9,10,6,7.3,2000
91,Tobias Harris,F,29.66,8,5,8,9,9,7,7.991666666666670,3500
92,Josh Hart,G,27.02,6,6,8,10,9,10,8.566666666666670,3500
93,Killian Hayes,G,20.63,5,6,5,8,5,10,6.75,1000
94,Gordon Hayward,F,31.98,7,5,6,10,9,9,7.966666666666670,3500
95,Tyler Herro,G,22.15,8,5,6,8,9,8,7.633333333333330,1000
96,Buddy Hield,G,29.24,6,5,6,10,9,8,7.633333333333330,2000
97,George Hill,G,35.86,5,5,5,10,8,8,7.083333333333330,2000
98,Jrue Holiday,G,31.75,8,7,6,10,10,10,8.800000000000000,5000
99,Justin Holiday,F-G,32.94,6,5,5,10,9,8,7.416666666666670,2000
100,Richaun Holmes,F,28.41,6,5,8,10,10,9,8.275,3500
101,Al Horford,C-F,35.78,6,5,8,10,8,10,8.108333333333330,3500
102,Talen Horton-Tucker,G,21.3,5,5,5,8,7,9,6.75,1000
103,Kevin Huerter,G-F,23.55,6,5,5,9,9,7,7.083333333333330,2000
104,De'Andre Hunter,F-G,24.28,6,5,5,9,9,7,7.083333333333330,2000
105,Joe Ingles,F-G,34.45,5,5,5,10,8,6,6.75,1000
106,Brandon Ingram,F,24.53,9,7,7,9,8,7,8.233333333333330,3500
107,Kyrie Irving,G,29.97,10,7,6,10,10,10,9.133333333333330,5000
108,Wes Iwundu,F,27.23,5,5,6,10,10,5,7.083333333333330,2000
109,Jaren Jackson Jr.,F-C,22.49,7,5,7,8,7,10,7.633333333333330,1000
110,Frank Jackson,G,23.86,6,5,5,10,8,6,6.916666666666670,1000
111,Reggie Jackson,G,31.91,7,6,5,8,8,8,7.25,2000
112,LeBron James,F,37.2,10,7,9,10,10,10,9.758333333333330,5000
113,Cameron Johnson,F,26.03,6,5,6,10,10,8,7.7750000000000000,2000
114,Keldon Johnson,F-G,22.42,7,5,8,9,10,8,8.233333333333330,1000
115,Nikola Jokic,C,27.06,10,9,10,10,10,10,10.308333333333300,5000
116,Herbert Jones,F,23.44,5,5,5,9,8,10,7.25,2000
117,Cory Joseph,G,30.57,5,5,5,10,10,7,7.25,2000
118,Luke Kennard,G,25.72,6,5,5,10,10,7,7.416666666666670,2000
119,Maxi Kleber,F,30.12,5,5,7,9,8,10,7.583333333333330,2000
120,Furkan Korkmaz,G-F,24.64,5,5,5,9,7,6,6.416666666666670,1000
121,Kyle Kuzma,F,26.64,7,5,9,9,8,8,7.966666666666670,3500
122,Zach LaVine,G-F,27.01,9,6,6,9,9,7,7.966666666666670,3500
123,Caris LeVert,G,27.55,8,6,5,10,8,9,7.916666666666670,3500
124,Damian Lillard,G,31.66,9,8,6,10,8,7,8.300000000000000,3500
125,Nassir Little,F-G,22.09,5,5,7,10,8,8,7.516666666666670,1000
126,Brook Lopez,C,33.95,5,5,7,7,10,10,7.583333333333330,2000
127,Kevin Love,F-C,33.51,6,5,8,10,9,5,7.441666666666670,2000
128,Kyle Lowry,G,35.97,6,8,6,9,9,10,8.300000000000000,3500
129,Terance Mann,G-F,25.4,6,5,7,10,9,8,7.8500000000000000,3500
130,Lauri Markkanen,F-C,24.81,6,5,7,9,8,8,7.441666666666670,2000
