78,Dillon Brooks,Mem,G-F,26.14,22,27.8,58,28.5,9,74,0.892,250,0.468,104,0.327,0.475,0.52,18.3,3.2,6,2.8,15.4,1.27,0.18,1.73,7.9,107.3,101.9
79,Chaundee Brown Jr.,Lal,G,23.28,2,10.3,21.5,16.7,12.5,0,0,4,0.25,3,0,0.143,0.143,1,1,5.2,0,0,0,0,0.5,0,27.3,119.2
80,Charlie Brown Jr.,Dal,G,24.11,3,5.1,10.7,14.6,0,0,0,2,0.5,3,0,0.2,0.2,0.7,0.3,3.6,0.3,8.7,0.67,0.33,0,3.1,55.5,92.3
81,Chaundee Brown Jr.,Atl,G,23.28,3,27.7,57.7,14.6,0,6,0.833,10,0.3,15,0.4,0.48,0.525,9.7,4.7,9.3,1.3,6.4,0.67,0,0,5.6,117.6,108.6
82,Charlie Brown Jr.,Phi,G,24.11,16,9.8,20.4,12.4,11.5,10,0.9,25,0.32,9,0.111,0.279,0.365,1.8,1.9,11,0.3,4.3,0.5,0.19,0.31,4.1,92.9,102.4
83,Greg Brown III,Por,F,20.53,34,10.3,21.5,18.3,10.1,43,0.651,83,0.47,31,0.226,0.434,0.478,3.7,2.3,12,0.4,6,0.47,0.41,0.44,5.8,100.3,101.3
84,Troy Brown Jr.,Chi,G-F,22.63,56,17,35.4,12,8.5,25,0.76,112,0.473,115,0.348,0.498,0.515,4.4,3.2,10.5,1,7.6,0.54,0.07,0.39,5.7,110.1,108.9
85,Bruce Brown,Bro,G-F,25.58,59,22.8,47.6,14.3,8.9,81,0.741,309,0.524,64,0.359,0.527,0.554,7.7,4.6,10.8,1.6,9.6,1.08,0.53,0.68,6.7,117.6,103.9
86,Jaylen Brown,Bos,G-F,25.38,54,33.7,70.3,30.3,12.1,257,0.759,598,0.535,391,0.34,0.525,0.56,22.9,6.1,9.8,3.4,17.5,1.02,0.3,2.81,9.3,106.2,101.9
87,Moses Brown,Dal,C,22.42,26,6.5,13.5,22.1,16.9,43,0.628,50,0.54,0,0,0.54,0.588,3.1,2.3,20,0,0.9,0.12,0.35,0.54,0,107.1,89.8
88,Moses Brown,Cle,C,22.42,1,2.5,5.2,17.6,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
89,Sterling Brown,Dal,G-F,27.09,44,12.9,27,13.2,13.2,11,0.909,56,0.482,84,0.321,0.482,0.501,3.3,3.1,13.3,0.7,7.4,0.27,0.16,0.5,6,101.2,101
90,Jalen Brunson,Dal,G,25.53,65,32.2,67,21.8,11.1,162,0.821,628,0.538,202,0.381,0.546,0.577,16,3.7,6.4,5.2,26.4,0.91,0.05,1.74,8.4,116.4,105.6
91,Thomas Bryant,Was,C-F,24.62,21,17.8,37.1,19.4,10.4,32,0.875,95,0.621,37,0.27,0.561,0.602,8.4,4.1,12.7,1,9.1,0.29,0.81,0.81,7.3,118.9,106.7
92,Shaq Buchanan,Mem,G,20,2,4.9,10.2,25.1,33.3,0,0,2,0.5,2,0,0.25,0.25,1,1,10.6,1,25.7,0.5,0,1,8.2,60.7,99.8
93,Reggie Bullock,Dal,G-F,31,57,26.8,55.9,13.5,7.2,44,0.818,92,0.565,316,0.345,0.528,0.546,8.2,3.4,7,1.1,6,0.58,0.23,0.58,4.7,109,106.5
94,Trey Burke,Dal,G,29.33,36,10.8,22.5,25.8,10.3,23,0.87,116,0.474,74,0.324,0.479,0.505,5.6,0.8,4.3,1.4,20.8,0.31,0,0.64,6.8,101,104
95,Alec Burks,Nyk,G,30.65,67,27.6,57.5,17.6,9.1,215,0.819,280,0.371,303,0.386,0.479,0.542,11,4.7,9.1,2.9,15.6,1.04,0.33,1.01,7.7,115.2,103.3
96,Jared Butler,Uta,G,21.55,31,7.8,16.3,23.9,18.8,12,0.583,48,0.438,55,0.345,0.481,0.489,3.4,0.8,5.8,1.3,24.2,0.29,0.23,0.81,7.8,96.2,99.5
97,Jimmy Butler,Mia,F,32.5,47,34,70.8,26.8,10.4,384,0.87,610,0.51,87,0.195,0.483,0.581,21.4,6.1,10.2,5.6,27.2,1.79,0.51,2.15,10.6,122.8,105.8
98,Devontae Cacok,San,F,25.43,11,8.4,17.5,14.2,6.4,7,0.571,26,0.692,0,0,0.692,0.688,3.6,3.3,20.4,0.5,7.7,0.64,0.64,0.18,8.6,137.8,94.2
99,Kentavious Caldwell-Pope,Was,G,29.07,63,29.9,62.4,18.3,9.5,119,0.916,319,0.439,333,0.393,0.516,0.555,12.4,3.3,6.2,1.9,9.4,1.06,0.33,1.17,5.7,108.4,111.8
100,Facundo Campazzo,Den,G,30.98,61,19.1,39.9,14.7,16.7,78,0.769,102,0.48,188,0.303,0.464,0.507,5.4,1.9,5.6,3.5,24.2,1,0.38,1.07,6.9,109.4,102.9
101,Vlatko Cancar,Den,F,24.93,14,10.9,22.7,15.1,15.3,12,0.75,27,0.556,12,0.583,0.654,0.678,4.3,1.6,8.4,0.9,12,0.14,0.21,0.57,6.7,123.8,106.8
102,Clint Capela,Atl,C,27.82,59,27.7,57.7,15.1,6.2,139,0.46,466,0.607,1,0,0.606,0.596,10.7,11.9,23.6,1.3,7.1,0.69,1.36,0.59,7.9,133.1,104.9
103,Vernon Carey Jr.,Cha,F-C,21.05,4,4.2,8.8,20.8,12,3,0.667,6,0.5,0,0,0.5,0.546,2,1.3,15.5,0,0,0.25,0,0.25,0,113.4,110
104,Vernon Carey Jr.,Was,F-C,21.05,1,1.4,2.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
105,Wendell Carter Jr.,Orl,C-F,22.91,58,29.9,62.3,20.5,13,184,0.701,430,0.607,202,0.327,0.57,0.595,14.6,10.4,18.4,2.7,15.2,0.57,0.71,1.84,9.9,115,102.8
106,Jevon Carter,Bro,G,26.5,46,12,25,16,12.7,10,0.7,47,0.34,127,0.331,0.454,0.462,3.6,1.5,6.6,1,11,0.3,0.22,0.57,5.8,93.6,109.2
107,Jevon Carter,Mil,G,26.5,8,18.1,37.7,10.6,5.6,4,1,9,0.111,23,0.565,0.641,0.666,5.6,1.6,4.7,1.8,12.7,0.38,0.25,0.25,5.6,142.4,109.3
108,Alex Caruso,Chi,G,28.04,29,27.7,57.8,14.1,15.9,61,0.82,101,0.505,89,0.348,0.513,0.565,8.4,3.8,7.6,3.9,18.2,2,0.41,1.41,7.2,115.6,104.2
109,Willie Cauley-Stein,Dal,C,28.57,18,9.8,20.5,10.9,16.3,2,0.5,33,0.455,2,0.5,0.471,0.474,1.9,2.1,11.8,0.5,7.1,0.33,0.17,0.39,5.1,102.6,100.3
110,Willie Cauley-Stein,Phi,C,28.57,2,2.9,5.9,0,,0,0,0,0,0,0,,,0,1,19.5,0.5,21.7,0,0,0,0,,
111,Ahmad Caver,Ind,G,20,1,0.9,1.9,47.7,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
112,Justin Champagnie,Tor,G-F,20.71,35,7.8,16.3,11.9,9.2,9,1,39,0.538,26,0.346,0.531,0.566,2.2,2,13.8,0.3,5.5,0.2,0.11,0.2,5.6,128.8,102.8
113,Zylan Cheatham,Uta,F,26.32,1,5.2,10.8,25.1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,119.2
114,Chris Chiozza,Gol,G,26.31,29,10.8,22.5,13.3,25.1,1,1,25,0.2,46,0.348,0.408,0.413,2,1.1,5.5,2,23.4,0.34,0,0.83,6.1,93.5,103.2
115,Marquese Chriss,Dal,F,24.7,23,11.1,23.2,22.2,13.5,19,0.632,80,0.513,21,0.333,0.51,0.526,5,3.5,17.2,0.5,7.5,0.48,0.43,0.74,7.4,102.2,86.5
116,Josh Christopher,Hou,G,20.26,60,17.2,35.7,21,16.8,76,0.763,240,0.533,151,0.311,0.508,0.536,7.6,2.4,7.6,1.9,16.9,0.82,0.15,1.43,7.6,101.1,113.3
117,Brandon Clarke,Mem,F,25.48,54,19.4,40.4,17.5,5.8,112,0.661,351,0.672,20,0.2,0.652,0.664,10.3,5.6,14.9,1.3,10.3,0.57,1.06,0.48,8.7,138.8,102.6
118,Gary Clark,Nor,F,27.32,32,10,20.8,11,7.4,8,0.75,12,0.25,60,0.383,0.521,0.536,2.5,2.5,13.6,0.4,5.5,0.34,0.22,0.19,5.4,116,108.4
119,Jordan Clarkson,Uta,G,29.77,64,26.2,54.6,27.4,9.6,138,0.848,401,0.534,493,0.32,0.504,0.534,15.9,3.3,6.8,2.3,13.9,0.77,0.23,1.58,7.5,107.5,106.6
120,Nic Claxton,Bro,F-C,22.91,33,20.1,41.9,15.4,9.7,67,0.567,185,0.643,0,0,0.643,0.643,8.4,5.2,14.2,0.8,6,0.52,1.15,0.7,6.5,128.9,104.6
121,Amir Coffey,Lac,G-F,24.74,57,23.1,48.1,15.1,8.2,99,0.869,165,0.539,208,0.365,0.544,0.591,8.6,2.8,6.4,1.8,11,0.56,0.19,0.65,6.1,118.9,108.5
122,John Collins,Atl,F-C,24.47,54,30.8,64.1,20.5,7.7,169,0.793,468,0.588,176,0.364,0.576,0.61,16.2,7.8,14,1.8,9,0.61,1.04,1.11,7.9,122.8,106.1
123,Zach Collins,San,F-C,24.32,14,15.9,33.1,17.3,24.1,23,0.826,43,0.512,16,0.438,0.551,0.608,6,4.9,16.2,1.8,14.6,0.5,0.5,1.57,9.4,112.2,98.5
124,Darren Collison,Lal,G,34.56,3,12.4,25.8,9.3,12.5,0,0,4,0.5,3,0,0.286,0.286,1.3,1.3,5.7,0.7,6.8,0.33,0,0.33,3.4,64.6,102.7
125,Mike Conley,Uta,G,34.42,59,28.2,58.7,20.9,12.7,133,0.835,302,0.447,335,0.397,0.525,0.561,13.2,3.1,6,5.2,27,1.34,0.32,1.71,8.5,118.4,106.5
126,Pat Connaughton,Mil,G,29.18,54,27,56.2,13.6,6.7,37,0.811,108,0.639,307,0.407,0.618,0.63,10.1,4.4,8.5,1.2,6.2,0.94,0.26,0.57,5.6,124.7,108.6
127,Tyler Cook,Chi,F,24.47,19,10.3,21.5,12.7,12.4,31,0.645,36,0.611,0,0,0.611,0.645,3.4,2.7,14.8,0.2,2,0.21,0.21,0.37,4.8,128,100.6
128,Sharife Cooper,Atl,G,20.76,11,3.2,6.7,23.6,26.3,0,0,8,0.25,6,0.167,0.25,0.25,0.6,0.5,7.8,0.5,18.3,0,0,0.45,6.6,,
129,Petr Cornelie,Den,F,26.63,13,2.9,6.1,24,19.3,4,0.75,7,0.571,8,0.125,0.367,0.418,1.1,1.1,20.4,0.2,11,0.08,0.08,0.31,8.6,,
130,DeMarcus Cousins,Mil,C,31.58,17,16.9,35.1,22.5,10.6,38,0.816,70,0.6,48,0.271,0.521,0.572,9.1,5.8,18,1.1,9.4,0.94,0.47,0.94,9.2,115.8,91.9
131,DeMarcus Cousins,Den,C,31.58,17,14.2,29.6,33.8,23.7,60,0.717,79,0.443,36,0.333,0.461,0.527,8.8,6.2,24.4,1.6,17.7,0.94,0.47,2.59,12.5,94.4,82.6
132,Robert Covington,Por,F,31.25,48,29.8,62.1,12.4,14.2,36,0.833,106,0.462,230,0.343,0.499,0.519,7.6,5.7,10.4,1.4,6.7,1.54,1.31,1.21,5.3,100.6,106.7
133,Robert Covington,Lac,F,31.25,12,20.8,43.2,15.9,9.9,17,0.824,29,0.621,45,0.356,0.568,0.601,8.2,5.3,13.4,1.1,7.6,1.25,1.33,0.75,7,118.7,96.9
134,Torrey Craig,Ind,F,31.23,51,20.3,42.2,13.9,11.6,35,0.771,143,0.573,138,0.333,0.537,0.555,6.5,3.8,10.4,1.1,7.8,0.47,0.37,0.76,5.9,112.6,108.9
